0.031991	  0.251144 -0.0166864   0.616586	-0.65 -0.45   0.7	-0.002647 -0.824583 -0.024123  -2.16809 -0.040375   1.23914  -0.01824
0.032991	 0.248961 -0.017685  0.616829	-0.65 -0.45   0.7	-0.002904 -0.827426  -0.02561  -2.16775 -0.042705   1.23069 -0.019176
0.033991	  0.246728 -0.0187043   0.617078	-0.65 -0.45   0.7	-0.003177 -0.830365 -0.027134  -2.16744 -0.045079   1.22214 -0.020119
0.034991	 0.244446 -0.019743  0.617332	-0.65 -0.45   0.7	-0.003466 -0.833399 -0.028693  -2.16715 -0.047496    1.2135 -0.021069
0.035991	  0.242115 -0.0208012   0.617593	-0.65 -0.45   0.7	-0.003771 -0.836528 -0.030289  -2.16688 -0.049954   1.20477 -0.022026
0.036991	  0.239737 -0.0218774   0.617858	-0.65 -0.45   0.7	-0.004093 -0.839749 -0.031919  -2.16664 -0.052453   1.19596 -0.022988
0.037991	  0.237313 -0.0229718   0.618129	-0.65 -0.45   0.7	-0.004432 -0.843063 -0.033585  -2.16642 -0.054991   1.18707 -0.023955
0.038991	  0.234844 -0.0240828   0.618405	-0.65 -0.45   0.7	-0.004788 -0.846467 -0.035284  -2.16622 -0.057568    1.1781 -0.024926
0.039991	  0.232332 -0.0252104   0.618685	-0.65 -0.45   0.7	-0.005161  -0.84996 -0.037018  -2.16605 -0.060183   1.16908   -0.0259
0.040991	  0.229776 -0.0263545    0.61897	-0.65 -0.45   0.7	-0.005553 -0.853542 -0.038787   -2.1659 -0.062834      1.16 -0.026877
0.041991	 0.227179 -0.027513  0.619259	-0.65 -0.45   0.7	-0.005963 -0.857209 -0.040588  -2.16578  -0.06552   1.15085 -0.027855
0.042991	 0.224541 -0.028687  0.619552	-0.65 -0.45   0.7	-0.006392 -0.860962 -0.042424  -2.16567 -0.068242   1.14167 -0.028834
0.043991	  0.221864 -0.0298742   0.619849	-0.65 -0.45   0.7	-0.006839 -0.864798 -0.044292  -2.16558 -0.070997   1.13243 -0.029813
0.044991	  0.219148 -0.0310754    0.62015	-0.65 -0.45   0.7	-0.007306 -0.868716 -0.046194  -2.16552 -0.073785   1.12316 -0.030792
0.045991	  0.216394 -0.0322891   0.620454	-0.65 -0.45   0.7	-0.007792 -0.872715 -0.048128  -2.16547 -0.076606   1.11385 -0.031769
0.046991	  0.213604 -0.0335157    0.62076	-0.65 -0.45   0.7	-0.008298 -0.876793 -0.050096  -2.16544 -0.079459   1.10451 -0.032745
0.047991	 0.210778 -0.034754   0.62107	-0.65 -0.45   0.7	-0.008824 -0.880948 -0.052097  -2.16543 -0.082342   1.09514 -0.033718
0.048991	  0.207917 -0.0360036   0.621382	-0.65 -0.45   0.7	-0.009371 -0.885179  -0.05413  -2.16543 -0.085256   1.08575 -0.034688
0.049991	  0.205022 -0.0372636   0.621696	-0.65 -0.45   0.7	-0.009938 -0.889485 -0.056195  -2.16545   -0.0882   1.07635 -0.035654
0.050991	  0.202095 -0.0385341   0.622013	-0.65 -0.45   0.7	-0.010525 -0.893864 -0.058294  -2.16548 -0.091172   1.06692 -0.036615
0.051991	  0.199136 -0.0398143    0.62233	-0.65 -0.45   0.7	-0.011134 -0.898313 -0.060425  -2.16553 -0.094173   1.05749 -0.037572
0.052991	  0.196145 -0.0411039    0.62265	-0.65 -0.45   0.7	-0.011764 -0.902833 -0.062589  -2.16558 -0.097202   1.04804 -0.038523
0.053991	  0.193125 -0.0424023    0.62297	-0.65 -0.45   0.7	-0.012416  -0.90742 -0.064785  -2.16565 -0.100259    1.0386 -0.039468
0.054991	  0.190076 -0.0437087   0.623292	-0.65 -0.45   0.7	-0.013089 -0.912074 -0.067014  -2.16572 -0.103342   1.02915 -0.040406
0.055991	  0.186998 -0.0450231   0.623614	-0.65 -0.45   0.7	-0.013784 -0.916792 -0.069276   -2.1658 -0.106451   1.01971 -0.041336
